,Society,Award Type,Year,Award Winner,Training Level,Gender,Male,Female,FName,LName,pred_genders
143,COS,4,2017,Victoria Leung,1,2,False,True,Victoria,Leung,female
144,COS,4,2016,Harrish Nithianandan,5,1,True,False,Harrish,Nithianandan,male
145,COS,4,2015,Hermina Strungaru,1,2,False,True,Hermina,Strungaru,female
146,COS,4,2014,Uri Elbaz,1,1,True,False,Uri,Elbaz,male
147,COS,4,2013,Julia Talajic,1,2,False,True,Julia,Talajic,female
148,COS,4,2012,Gregory Moloney,1,1,True,False,Gregory,Moloney,male
149,COS,4,2011,Julia Baryla,1,2,False,True,Julia,Baryla,female
150,COS,4,2010,Toby Chan,1,1,True,False,Toby,Chan,male
151,COS,4,2021,Francis Price,1,1,True,False,Francis,Price,male
152,COS,4,2019,Donald Tan,1,1,True,False,Donald,Tan,male
153,COS,4,2018,Soosan Jacob,5,2,False,True,Soosan,Jacob,female
154,COS,4,2017,Damien Gatinel,1,1,True,False,Damien,Gatinel,male
155,COS,4,2016,Rajesh Fogla,1,1,True,False,Rajesh,Fogla,male
156,COS,4,2015,Harminder Dua,1,1,True,False,Harminder,Dua,male
157,COS,4,2014,Marshal Hamill,1,-1,False,False,Marshal,Hamill,male
158,COS,4,2013,Sheraz Daya,1,1,True,False,Sheraz,Daya,male
159,COS,4,2012,Anthony Aldave,1,1,True,False,Anthony,Aldave,male
160,COS,4,2011,Donald Tan,1,1,True,False,Donald,Tan,male
161,COS,4,2010,Jesus Merayo,3,1,True,False,Jesus,Merayo,male
162,COS,4,2009,Steven Wilson,1,1,True,False,Steven,Wilson,male
163,COS,4,2008,Terrence O’Brien,1,1,True,False,Terrence,O’Brien,male
164,COS,4,2007,Eduardo Alfonso,1,1,True,False,Eduardo,Alfonso,male
165,COS,4,2006,Mark Mannis,1,1,True,False,Mark,Mannis,male
166,COS,4,2005,Peter Laibson,1,1,True,False,Peter,Laibson,male
167,COS,4,2004,Terrence O’Brien,1,1,True,False,Terrence,O’Brien,male
168,COS,4,2003,Helene Boisjoly,1,2,False,True,Helene,Boisjoly,female
169,COS,3,2016,Chandra Sankurathri,2,1,True,False,Chandra,Sankurathri,male
170,CGS,3,2018,Graham Trope,3,1,True,False,Graham,Trope,male
171,CGS,3,2016,Gordon Douglas,1,1,True,False,Gordon,Douglas,male
172,CGS,4,2020,James Armstrong,3,1,True,False,James,Armstrong,male
173,CGS,4,2019,Saba Samet,1,2,False,True,Saba,Samet,female
174,CGS,4,2018,Bill Shi,4,-1,False,False,Bill,Shi,male
175,CGS,4,2017,Matthew Schlenker,1,1,True,False,Matthew,Schlenker,male
176,CGS,4,2016,Nicholas Ault,4,1,True,False,Nicholas,Ault,male
177,CGS,4,2015,Edward Moss,1,1,True,False,Edward,Moss,male
178,CGS,4,2013,Yiannis Lordanous,1,1,True,False,Yiannis,Lordanous,male
179,CGS,4,2020,Carter Lim,1,1,True,False,Carter,Lim,male
180,CGS,4,2020,Nikoleta Tellios,5,2,False,True,Nikoleta,Tellios,female
181,CGS,4,2020,Lucas Torres,1,1,True,False,Lucas,Torres,male
182,CGS,4,2020,Cindy Hutnik,1,2,False,True,Cindy,Hutnik,female
183,CGS,4,2019,Vinay Kansal,1,1,True,False,Vinay,Kansal,male
184,CGS,4,2019,Emily Mathieu,2,-1,False,False,Emily,Mathieu,female
185,CGS,4,2019,Lucas Torres,1,1,True,False,Lucas,Torres,male
186,CGS,4,2018,Evan Michaelov,1,1,True,False,Evan,Michaelov,male
187,CGS,4,2018,Emily Mathieu,2,-1,False,False,Emily,Mathieu,female
188,CGS,4,2018,Simrenjeet Sandhu,1,1,True,False,Simrenjeet,Sandhu,unknown
189,CGS,4,2018,Sunil Parapurum,2,1,True,False,Sunil,Parapurum,male
190,CGS,4,2017,Wendy Wang,4,2,False,True,Wendy,Wang,female
191,CGS,4,2017,Jayme Vianna,1,1,True,False,Jayme,Vianna,female
192,CGS,4,2017,Shawn Cohen,1,1,True,False,Shawn,Cohen,male
193,CGS,4,2016,Sarah Mullen,1,2,False,True,Sarah,Mullen,female
194,CGS,4,2016,Angela Zhang,1,2,False,True,Angela,Zhang,female
195,CGS,4,2016,Yogesh Patodia,4,1,True,False,Yogesh,Patodia,male
196,CGS,4,2016,Jayme Vianna,1,1,True,False,Jayme,Vianna,female
197,CGS,4,2015,Jeremy Murphy,1,1,True,False,Jeremy,Murphy,male
198,CGS,4,2015,Sourabh Arora,1,1,True,False,Sourabh,Arora,male
199,CGS,4,2015,Tal Milman,4,1,True,False,Tal,Milman,male
200,CGS,4,2015,Sera Thomas,5,2,False,True,Sera,Thomas,female
201,CGS,4,2014,Gary Yau,1,1,True,False,Gary,Yau,male
202,CGS,4,2014,Kelsey Watson,4,2,False,True,Kelsey,Watson,female
203,CGS,4,2014,Yiannis Lordanous,1,1,True,False,Yiannis,Lordanous,male
204,EPS,2,2019,Asim Ali,1,1,True,False,Asim,Ali,male
205,EPS,2,2018,Rajeev Muni,1,1,True,False,Rajeev,Muni,male
206,EPS,2,2017,Ike Ahmed,1,1,True,False,Ike,Ahmed,male
207,EPS,2,2016,Charles Pavlin,1,1,True,False,Charles,Pavlin,male
208,EPS,2,2015,Myrna Lichter,1,2,False,True,Myrna,Lichter,female
209,EPS,2,2014,Michael Brent,1,1,True,False,Michael,Brent,male
210,EPS,2,2013,Phil Hooper,1,1,True,False,Phil,Hooper,male
211,EPS,2,2012,Sanjay Sharma,1,1,True,False,Sanjay,Sharma,male
212,EPS,2,2011,Orest Skrypuch,1,1,True,False,Orest,Skrypuch,male
213,EPS,3,2019,Patricia Teal,1,2,False,True,Patricia,Teal,female
214,EPS,3,2019,David Smith,1,1,True,False,David,Smith,male
215,EPS,3,2018,Soloman Weinstock,1,1,True,False,Soloman,Weinstock,male
216,EPS,3,2017,William Jackson,1,1,True,False,William,Jackson,male
217,EPS,3,2016,Samuel Markowitz,1,1,True,False,Samuel,Markowitz,male
218,EPS,3,2015,Rand Simpson,1,1,True,False,Rand,Simpson,male
219,EPS,3,2014,William Dixon,1,1,True,False,William,Dixon,male
220,EPS,3,2013,Jeff Sher,1,1,True,False,Jeff,Sher,male
221,EPS,3,2012,Jeff Hurwitz,1,1,True,False,Jeff,Hurwitz,male
222,EPS,3,2011,John Fowler,1,1,True,False,John,Fowler,male
223,EPS,1,2017,John Fowler,1,1,True,False,John,Fowler,male
224,EPS,3,2019,Kylen McReelis,1,1,True,False,Kylen,McReelis,male
