Name,Society,Award,Year,Location,Data Source,Gender
"David M. Witten, MD",Society for Abdominal Radiology,Howard M. Pollack Medal,2003,,https://www.saintlukeskc.org/about/news/dr-witten-legacy-gives-back,1
"Alan J. Davidson, MD ",Society for Abdominal Radiology,Howard M. Pollack Medal,2002,,https://www.doximity.com/pub/alan-davidson-md-0dea6072,1
"Richard M. Friedenberg, MD",Society for Abdominal Radiology,Howard M. Pollack Medal,2002,,https://pubs.rsna.org/doi/full/10.1148/radiol.2017174008,1
"Morton A. Bosniak, MD ",Society for Abdominal Radiology,Howard M. Pollack Medal,2001,,"https://pubs.rsna.org/doi/full/10.1148/radiol.2016164037#:~:text=Dr%20Bosniak%20was%20born%20on,residency%20at%20New%20York%20Hospital.",1
"Harry Z. Mellins, MD",Society for Abdominal Radiology,Howard M. Pollack Medal,2001,,https://pubs.rsna.org/doi/full/10.1148/radiol.2522092520,1
"Milton Elkin, MD ",Society for Abdominal Radiology,Howard M. Pollack Medal,1998,,https://pubs.rsna.org/doi/abs/10.1148/radiology.138.2.495?journalCode=radiology,1
"Howard M. Pollack, MD",Society for Abdominal Radiology,Howard M. Pollack Medal,1998,,https://pubs.rsna.org/doi/abs/10.1148/radiology.219.2.r01ma36579?journalCode=radiology,1
"Harry W. Fischer, MD",Society for Abdominal Radiology,Howard M. Pollack Medal,1997,,https://health.usnews.com/doctors/harry-fischer-36068,1
"Joshua A. Becker, MD",Society for Abdominal Radiology,Howard M. Pollack Medal,1996,,https://health.usnews.com/doctors/joshua-becker-318689,1
"Herb Kressel, MD, FSAR",Society for Abdominal Radiology,Lifetime Achievement Award,2018,,www.abdominalradiology.org,1
"Michael Bettmann, MD, FSAR",Society for Abdominal Radiology,Lifetime Achievement Award,2018,,www.abdominalradiology.org,1
"John P. McGahan, MD",Society for Abdominal Radiology,Lifetime Achievement Award,2017,,www.abdominalradiology.org,1
"Nicholas Papanicolaou, MD",Society for Abdominal Radiology,Lifetime Achievement Award,2017,,www.abdominalradiology.org,1
"R. Brooke Jeffrey, Jr., MD",Society for Abdominal Radiology,Lifetime Achievement Award,2016,,www.abdominalradiology.org,1
"Isaac R. Francis, MD",Society for Abdominal Radiology,Lifetime Achievement Award,2016,,www.abdominalradiology.org,1
"Joseph F. Simeone, MD (GI)",Society for Abdominal Radiology,Lifetime Achievement Award,2015,,https://www.massgeneral.org/doctors/16617/joseph-simeone,1
"Bruce R. Baumgartner, MD (GU)",Society for Abdominal Radiology,Lifetime Achievement Award,2015,,https://www.doximity.com/pub/bruce-baumgartner-md,1
"Robert Mattrey, MD (GU)",Society for Abdominal Radiology,Lifetime Achievement Award,2014,,https://utswmed.org/doctors/robert-mattrey/,1
"J. William Charboneau, MD (GI)",Society for Abdominal Radiology,Lifetime Achievement Award,2014,,https://www.rsna.org/news/2017/october/rsna-2017-gold-medal-william-charboneau,1
"Suresh K. Patel, MD (GU)",Society for Abdominal Radiology,Lifetime Achievement Award,2013,,https://health.usnews.com/doctors/suresh-patel-443611,1
"Ali Shirkhoda, MD, FACR (GI)",Society for Abdominal Radiology,Lifetime Achievement Award,2013,,https://www.doximity.com/pub/ali-shirkhoda-md,1
"Jelle O. Barentsz, MD, PhD (GU)",Society for Abdominal Radiology,Lifetime Achievement Award,2012,,https://www.researchgate.net/profile/Jelle-Barentsz/2,1
"Joel E. Lichtenstein, MD (GI)",Society for Abdominal Radiology,Lifetime Achievement Award,2012,,https://health.usnews.com/doctors/joel-lichtenstein-1068811,1
"Syed Zafar Jafri, MD (GU)",Society for Abdominal Radiology,Lifetime Achievement Award,2011,,,
"Harold A. Mitty, MD (GU)",Society for Abdominal Radiology,Lifetime Achievement Award,2011,,https://health.usnews.com/doctors/harold-mitty-208527,1
"Francis J. Scholz, MD (GI)",Society for Abdominal Radiology,Lifetime Achievement Award,2011,,https://physicians.lahey.org/details/840/francis-scholz-radiology-burlington,1
"Mary Ann Turner, MD (GI)",Society for Abdominal Radiology,Lifetime Achievement Award,2011,,https://radiology.vcu.edu/divisions/diagnostic-radiology/abdominal-imaging/mary-ann-turner-md-facr-fsar.html,2
"Marco A. Amendola, MD (GU)",Society for Abdominal Radiology,Lifetime Achievement Award,2010,,https://www.doximity.com/pub/marco-amendola-md,1
"Henrik S. Thomsen, MD (GU)",Society for Abdominal Radiology,Lifetime Achievement Award,2010,,https://www.researchgate.net/profile/Henrik-Thomsen-2,1
"David S. Hartman, MD (GU)",Society for Abdominal Radiology,Lifetime Achievement Award,2009,,https://health.usnews.com/doctors/david-hartman-336525,1
"Stanford M. Goldman, MD (GU)",Society for Abdominal Radiology,Lifetime Achievement Award,2008,,https://med.uth.edu/radiology/faculty/stanford-m-goldman-m-d/,1
"Neil Wasserman, MD (GU)",Society for Abdominal Radiology,Lifetime Achievement Award,2008,,https://health.usnews.com/doctors/neil-wasserman-42709,1
"Melvyn T. Korobkin, MD (GU)",Society for Abdominal Radiology,Lifetime Achievement Award,2007,,https://medicine.umich.edu/dept/radiology/giving/professorships/melvyn-t-korobkin-collegiate-professorship-radiology,1
"Arthur J. Segal, MD (GU)",Society for Abdominal Radiology,Lifetime Achievement Award,2007,,https://health.usnews.com/doctors/arthur-segal-292728,1
"Kate Maturen, MD, FSAR",Society for Abdominal Radiology,Igor Laufer Visiting Professorship Award,2020,Michigan,www.abdominalradiology.org,2
"Erick Remer, MD, FSAR",Society for Abdominal Radiology,Igor Laufer Visiting Professorship Award,2019,Cleveland,www.abdominalradiology.org,1
"Frank Miller, MD, Northwestern University",Society for Abdominal Radiology,Igor Laufer Visiting Professorship Award,2018,,https://www.feinberg.northwestern.edu/faculty-profiles/az/profile.html?xid=12094,1
"Christine Menias, MD",Society for Abdominal Radiology,Igor Laufer Visiting Professorship Award,2017,Arizona,https://en.wikipedia.org/wiki/Christine_Menias,2
"Mukesh Harisinghani, MD",Society for Abdominal Radiology,Igor Laufer Visiting Professorship Award,2016,Massechusettes,https://www.massgeneral.org/doctors/17957/mukesh-harisinghani,1
"John Leyendecker, MD",Society for Abdominal Radiology,Igor Laufer Visiting Professorship Award,2015,Texas,https://utswmed.org/doctors/john-leyendecker/,1
"Desiree E. Morgan, MD",Society for Abdominal Radiology,Igor Laufer Visiting Professorship Award,2014,Alabama,https://www.uab.edu/medicine/radiology/faculty/body-imaging/17-directory/advanced-imaging/72-dmorgan,2
"Perry J. Pickhardt, MD",Society for Abdominal Radiology,Igor Laufer Visiting Professorship Award,2013,Wisconsin,https://radiology.wisc.edu/profile/perry-pickhardt-40/,1
"Benjamin M. Yeh, MD",Society for Abdominal Radiology,Igor Laufer Visiting Professorship Award,2012,California,https://cancer.ucsf.edu/people/yeh.benjamin,1
"Erik K. Paulson, MD",Society for Abdominal Radiology,Igor Laufer Visiting Professorship Award,2011,Duke University Medical Center,https://radiology.duke.edu/faculty/member/erik-k-paulson/,1
"Koenraad Mortele, MD",Society for Abdominal Radiology,Igor Laufer Visiting Professorship Award,2010,Brigham and Women’s Hospital,https://www.doximity.com/pub/koenraad-mortele-md,1
"Dushyant Sahani, MD",Society for Abdominal Radiology,Igor Laufer Visiting Professorship Award,2009,Massechucettes,https://rad.washington.edu/radiology-personnel/dsahani/,1
"Judy Yee, MD",Society for Abdominal Radiology,Igor Laufer Visiting Professorship Award,2008,California,https://einsteinmed.org/faculty/15511/judy-yee/,2
"Sharlene Teefey, MD",Society for Abdominal Radiology,Igor Laufer Visiting Professorship Award,2008,Mallinckrodt Institute,https://siteman.wustl.edu/doctor/teefey-sharlene-md/,2
"Angela Levy, MD",Society for Abdominal Radiology,Igor Laufer Visiting Professorship Award,2006,Uniformed Services University of the Health Science,https://www.doximity.com/pub/angela-levy-md,2
"Michael Macari, MD",Society for Abdominal Radiology,Igor Laufer Visiting Professorship Award,2005,NYU Medical Center,https://pubs.rsna.org/doi/full/10.1148/radiol.12124049,1
"Jonathan Kruskal, MD",Society for Abdominal Radiology,Igor Laufer Visiting Professorship Award,2004,Beth Israel Deaconess Medical Center,https://findadoc.bidmc.org/details/823/jonathan-kruskal-diagnostic_radiology-boston,1
"Mary Keogan, MD",Society for Abdominal Radiology,Igor Laufer Visiting Professorship Award,2003,St James' Hospital,https://www.doctor.com/Dr-Mary-Keogan,2
"Ann Fulcher, MD",Society for Abdominal Radiology,Igor Laufer Visiting Professorship Award,2002,Medical College of Virginia,https://medschool.vcu.edu/expertise/detail.html?ID=20,2
"Gerald Dodd, III, MD",Society for Abdominal Radiology,Igor Laufer Visiting Professorship Award,2001,University of Colorado Health Science Center,https://pubs.rsna.org/doi/full/10.1148/radiol.2015154052,1
"Jay Heiken, MD",Society for Abdominal Radiology,Igor Laufer Visiting Professorship Award,1999,Mallinckrodt Institute,https://www.mayoclinic.org/biographies/heiken-jay-p-m-d/bio-20395669,1
"Richard Gore, MD",Society for Abdominal Radiology,Igor Laufer Visiting Professorship Award,1998,Evanston Northwestern Healthcare,https://www.northshore.org/apps/findadoctor/physicians/richard-michael-gore,1
"C. Daniel Johnson, MD",Society for Abdominal Radiology,Igor Laufer Visiting Professorship Award,1997,Mayo Clinic Arizona,https://en.wikipedia.org/wiki/C._Daniel_Johnson,1
"Susan Wall, MD",Society for Abdominal Radiology,Igor Laufer Visiting Professorship Award,1996,"University of California, San Francisco",https://radiology.ucsf.edu/people/susan-wall,2
"Richard Baron, MD",Society for Abdominal Radiology,Igor Laufer Visiting Professorship Award,1995,University of Chicago,https://www.uchicagomedicine.org/forefront/news/richard-l-baron-radiologist-and-authority-on-diagnosis-of-liver-disease-1949-2017,1
"R. Brooke Jeffrey, Jr., MD",Society for Abdominal Radiology,Igor Laufer Visiting Professorship Award,1994,Stanford University Hospital,https://profiles.stanford.edu/brooke-jeffrey,1
"Dennis M. Balfe, MD",Society for Abdominal Radiology,Igor Laufer Visiting Professorship Award,1993,Mallinckrodt Institute,https://physicians.wustl.edu/people/dennis-m-balfe-md/,1
"Pablo R. Ros, MD",Society for Abdominal Radiology,Igor Laufer Visiting Professorship Award,1992,Brigham and Women's Hospital,https://case.edu/medicine/physician-assistant/about-us/faculty-staff/pablo-r-ros,1
"Joel E. Lichtenstein, MD",Society for Abdominal Radiology,Igor Laufer Visiting Professorship Award,1991,University of Washington,https://health.usnews.com/doctors/joel-lichtenstein-1068811,1
"Emil J. Balthazar, MD",Society for Abdominal Radiology,Igor Laufer Visiting Professorship Award,1990,New Bellevue Hospital,https://health.usnews.com/doctors/emil-balthazar-73438,1
"Marc S. Levine, MD",Society for Abdominal Radiology,Igor Laufer Visiting Professorship Award,1989,Hospital of the University of Pennsylvania,www.abdominalradiology.org,1
"David W. Gelfand, MD",Society for Abdominal Radiology,Igor Laufer Visiting Professorship Award,1988,Wake Forest University Baptist Medical Center,,
"Eric vanSonnenberg, MD",Society for Abdominal Radiology,Igor Laufer Visiting Professorship Award,1987,Saint Joseph's Hospital Medical Center,https://medadvisement.arizona.edu/person/dr-eric-vansonnenberg,1
"Wylie J. Dodds, Jr., MD",Society for Abdominal Radiology,Igor Laufer Visiting Professorship Award,1986,Medical College of Wisconsin,https://link.springer.com/content/pdf/10.1007/BF02266981.pdf,1
"Mitchell E. Tublin, MD",Society for Abdominal Radiology,Richard H. Marshak International Lecturer Award,2019,Pittsburg,www.abdominalradiology.org,2
"Matthew S. D. Davenport, MD, FSAR",Society for Abdominal Radiology,Richard H. Marshak International Lecturer Award,2018,,https://cme.utsouthwestern.edu/node/110776/bio/34246/view,2
"Khaled Elsayes, MD",Society for Abdominal Radiology,Richard H. Marshak International Lecturer Award,2017,,https://faculty.mdanderson.org/profiles/khaled_elsayes.html,2
"Julia Fielding, MD",Society for Abdominal Radiology,Richard H. Marshak International Lecturer Award,2016,,https://utswmed.org/doctors/julia-fielding/,
"David J. DiSantis, MD",Society for Abdominal Radiology,Richard H. Marshak International Lecturer Award,2015,,https://www.mayoclinic.org/biographies/disantis-david-j-m-d/bio-20208676,2
"Sudha A. Anupindi, MD",Society for Abdominal Radiology,Richard H. Marshak International Lecturer Award,2014,,https://www.research.chop.edu/people/sudha-a-anupindi,1
"Frank H. Miller, MD",Society for Abdominal Radiology,Richard H. Marshak International Lecturer Award,2013,,https://www.feinberg.northwestern.edu/faculty-profiles/az/profile.html?xid=12094,2
"Myron A. Pozniak, MD",Society for Abdominal Radiology,Richard H. Marshak International Lecturer Award,2012,,https://www.uwhealth.org/providers/myron-pozniak-md,2
" Jorge A. Soto, MD",Society for Abdominal Radiology,Richard H. Marshak International Lecturer Award,2011,,https://www.bmc.org/about-us/directory/doctor/jorge-soto-md,2
"Sat Somers, MB ChB",Society for Abdominal Radiology,Richard H. Marshak International Lecturer Award,2010,,https://whxray.com/radiologists/sat-somers/,1
"Francis Scholz, MD",Society for Abdominal Radiology,Richard H. Marshak International Lecturer Award,2009,,https://physicians.lahey.org/details/840/francis-scholz-radiology-burlington,2
"Andrew Taylor, MD",Society for Abdominal Radiology,Richard H. Marshak International Lecturer Award,2008,,https://profiles.ucsf.edu/andrew.taylor,2
"Giovanna Casola, MD",Society for Abdominal Radiology,Richard H. Marshak International Lecturer Award,2007,,https://providers.ucsd.edu/details/11883/radiology,2
"Dean D.T. Maglinte, MD",Society for Abdominal Radiology,Richard H. Marshak International Lecturer Award,2006,,www.abdominalradiology.org,1
"Robert Halvorsen, MD",Society for Abdominal Radiology,Richard H. Marshak International Lecturer Award,2005,,https://richmond.com/obituaries/halvorsen-robert-jr/article_6dfede0e-f8a2-51a3-8044-b91bd24939d6.html,2
not awarded,Society for Abdominal Radiology,Richard H. Marshak International Lecturer Award,2004,,,
"Sharlene Teefey, MD",Society for Abdominal Radiology,Richard H. Marshak International Lecturer Award,2003,,https://siteman.wustl.edu/doctor/teefey-sharlene-md/,2
"Ellen Wolf, MD",Society for Abdominal Radiology,Richard H. Marshak International Lecturer Award,2002,,https://einsteinmed.org/faculty/3892/ellen-wolf/,
"Eric vanSonnenberg, MD",Society for Abdominal Radiology,Richard H. Marshak International Lecturer Award,2001,,https://medadvisement.arizona.edu/person/dr-eric-vansonnenberg,2
"Eric vanSonnenberg, MD",Society for Abdominal Radiology,Richard H. Marshak International Lecturer Award,2000,,https://medadvisement.arizona.edu/person/dr-eric-vansonnenberg,2
"Hiromu Mori, MD",Society for Abdominal Radiology,Distinguished International Member Award,2018,,www.abdominalradiology.org,1
"Gabriel P. Krestin, MD, PhD",Society for Abdominal Radiology,Distinguished International Member Award,2017,,https://ec.europa.eu/programmes/horizon2020/sites/default/files/BIO_Gabriel%20P.%20Krestin.pdf,1
"Byung Ihn Choi, MD",Society for Abdominal Radiology,Distinguished International Member Award,2015,,https://www.myesr.org/article/97,1
"Dermot E. Malone, MD",Society for Abdominal Radiology,Distinguished International Member Award,2010,,https://www.radiology.ie/about-us/faculty-history1,1
"Borut Marincek, MD",Society for Abdominal Radiology,Distinguished International Member Award,2008,,https://www.sharecare.com/doctor/dr-borut-marincek,1
"Nicholas Gourtsoyiannis, MD",Society for Abdominal Radiology,Distinguished International Member Award,2006,,https://www.emedevents.com/speaker-profile/nicholas-gourtsoyiannis,1
Prof. Albert Baert,Society for Abdominal Radiology,Distinguished International Member Award,2005,,https://blog.myesr.org/european-radiology-25-years-of-excellence/,1
"Clive Bartram, MD",Society for Abdominal Radiology,Distinguished International Member Award,2004,,,
"Mark E. Baker, MD",Society for Abdominal Radiology,SAR Member Hall of Fame,2020,,https://my.clevelandclinic.org/staff/1216-mark-baker,1
"Herbert Y. Kressel, MD",Society for Abdominal Radiology,SAR Member Hall of Fame,2020,,https://www.myesr.org/article/112,1
"Howard J. Ansel, MD, FACR",Society for Abdominal Radiology,SAR Member Hall of Fame,2019,,www.abdominalradiology.org,1
"Sachiko Tomie Cochran, MD, FSAR, FACR",Society for Abdominal Radiology,SAR Member Hall of Fame,2019,,www.abdominalradiology.org,2
"Michael Federle, MD, FACR, FSAR",Society for Abdominal Radiology,SAR Member Hall of Fame,2019,,www.abdominalradiology.org,1
"Patrick C. Freeny, MD, FSAR, FACR",Society for Abdominal Radiology,SAR Member Hall of Fame,2019,,www.abdominalradiology.org,1
"Roger K. Harned MD, FSAR, FACR",Society for Abdominal Radiology,SAR Member Hall of Fame,2019,,www.abdominalradiology.org,1
"Hedvig Hricak, MD, PhD, Dr hc",Society for Abdominal Radiology,SAR Member Hall of Fame,2019,,www.abdominalradiology.org,2
"Tim B Hunter, MD, FSAR",Society for Abdominal Radiology,SAR Member Hall of Fame,2019,,www.abdominalradiology.org,1
"Marc S. Levine, MD, FSAR, FACR",Society for Abdominal Radiology,SAR Member Hall of Fame,2019,,www.abdominalradiology.org,1
"Joel E. Lichtenstein, MD, FACR, FSAR",Society for Abdominal Radiology,SAR Member Hall of Fame,2019,,www.abdominalradiology.org,1
"William W. Olmsted, MD, FSAR",Society for Abdominal Radiology,SAR Member Hall of Fame,2019,,www.abdominalradiology.org,1
"Charles A. Rohrmann, MD, FSAR, FACR",Society for Abdominal Radiology,SAR Member Hall of Fame,2019,,www.abdominalradiology.org,1
"Robert J. Stanley, MD, FSAR, FACR",Society for Abdominal Radiology,SAR Member Hall of Fame,2019,,www.abdominalradiology.org,1
"Henrik S. Thomsen, MD, FSAR, MSc",Society for Abdominal Radiology,SAR Member Hall of Fame,2019,,www.abdominalradiology.org,1
"William (Bill) Torres, MD, FSAR",Society for Abdominal Radiology,SAR Member Hall of Fame,2019,,www.abdominalradiology.org,1
"E. Stephen Amis, Jr., MD",Society for Abdominal Radiology,SAR Member Hall of Fame,2018,,www.abdominalradiology.org,1
"Dennis M. Balfe, MD ",Society for Abdominal Radiology,SAR Member Hall of Fame,2018,,www.abdominalradiology.org,1
"Morton I. Burrell, MD ",Society for Abdominal Radiology,SAR Member Hall of Fame,2018,,www.abdominalradiology.org,1
"N. Reed Dunnick, MD ",Society for Abdominal Radiology,SAR Member Hall of Fame,2018,,www.abdominalradiology.org,1
"Dean D.T. Maglinte, MD ",Society for Abdominal Radiology,SAR Member Hall of Fame,2018,,www.abdominalradiology.org,1
"Lynne K. Tiras, CMP",Society for Abdominal Radiology,SAR Member Hall of Fame,2018,,www.abdominalradiology.org,2
"David Hartman, MD",Society for Abdominal Radiology,SAR Member Hall of Fame,2017,,www.abdominalradiology.org,1
"Bruce McClennan, MD",Society for Abdominal Radiology,SAR Member Hall of Fame,2017,,www.abdominalradiology.org,1
"Marc Banner, MD ",Society for Abdominal Radiology,SAR Member Hall of Fame,2016,,https://www.doximity.com/pub/marc-banner-md,1
"Morton Bosniak, MD ",Society for Abdominal Radiology,SAR Member Hall of Fame,2016,,https://pubs.rsna.org/doi/pdf/10.1148/radiol.2016164037,1
"Robert Brown, MD ",Society for Abdominal Radiology,SAR Member Hall of Fame,2016,,https://synergyrad.org/team/robert-brown-m-d/,1
"Richard Clark, MD ",Society for Abdominal Radiology,SAR Member Hall of Fame,2016,,www.abdominalradiology.org,1
"John Craven, MD",Society for Abdominal Radiology,SAR Member Hall of Fame,2016,,www.abdominalradiology.org,1
"Alan Davidson, MD ",Society for Abdominal Radiology,SAR Member Hall of Fame,2016,,https://www.doximity.com/pub/alan-davidson-md-0dea6072,1
"Richard Friedenberg, MD ",Society for Abdominal Radiology,SAR Member Hall of Fame,2016,,https://pubs.rsna.org/doi/full/10.1148/radiol.2017174008,1
"Stanford Goldman, MD ",Society for Abdominal Radiology,SAR Member Hall of Fame,2016,,www.abdominalradiology.org,1
"Harvey Goldstein, MD ",Society for Abdominal Radiology,SAR Member Hall of Fame,2016,,https://www.healthgrades.com/physician/dr-harvey-goldstein-3dt3s,1
"Ronald Harris, MD ",Society for Abdominal Radiology,SAR Member Hall of Fame,2016,,www.abdominalradiology.org,1
"Marjorie Hertz, MD ",Society for Abdominal Radiology,SAR Member Hall of Fame,2016,,,
"Bruce J. Hillman, MD ",Society for Abdominal Radiology,SAR Member Hall of Fame,2016,,www.abdominalradiology.org,1
"J. Fred Johnson, III, MD ",Society for Abdominal Radiology,SAR Member Hall of Fame,2016,,,
"Melvyn Korobkin, MD ",Society for Abdominal Radiology,SAR Member Hall of Fame,2016,,https://pubs.rsna.org/doi/full/10.1148/radiol.2017174009,1
"Robert Lebowitz, MD ",Society for Abdominal Radiology,SAR Member Hall of Fame,2016,,www.abdominalradiology.org,1
"Leon Love, MD ",Society for Abdominal Radiology,SAR Member Hall of Fame,2016,,https://pubs.rsna.org/doi/full/10.1148/radiol.2523092528,1
"Morton Meyers, MD ",Society for Abdominal Radiology,SAR Member Hall of Fame,2016,,http://www.mortonmeyers.com/about-the-author/,1
"Harold Mitty, MD ",Society for Abdominal Radiology,SAR Member Hall of Fame,2016,,www.abdominalradiology.org,1
"Jeffrey Newhouse, MD ",Society for Abdominal Radiology,SAR Member Hall of Fame,2016,,www.abdominalradiology.org,1
"Suresh Patel, MD ",Society for Abdominal Radiology,SAR Member Hall of Fame,2016,,www.abdominalradiology.org,1
"Theodore Robinson, MD ",Society for Abdominal Radiology,SAR Member Hall of Fame,2016,,https://www.healthgrades.com/physician/dr-theodore-robinson-32nyl,1
"Arthur Rosenfield, MD ",Society for Abdominal Radiology,SAR Member Hall of Fame,2016,,https://www.doximity.com/pub/arthur-rosenfield-md,1
"Francis Scholz, MD ",Society for Abdominal Radiology,SAR Member Hall of Fame,2016,,https://physicians.lahey.org/details/840/francis-scholz-radiology-burlington,1
"Arthur J. Segal, MD ",Society for Abdominal Radiology,SAR Member Hall of Fame,2016,,www.abdominalradiology.org,1
"Terry Mark Silver, MD ",Society for Abdominal Radiology,SAR Member Hall of Fame,2016,,https://www.doximity.com/pub/terry-silver-md,1
"Derek Stables, MD ",Society for Abdominal Radiology,SAR Member Hall of Fame,2016,,www.abdominalradiology.org,1
"Lee Talner, MD ",Society for Abdominal Radiology,SAR Member Hall of Fame,2016,,www.abdominalradiology.org,1
"Ruedi Thoeni, MD ",Society for Abdominal Radiology,SAR Member Hall of Fame,2016,,https://www.healthgrades.com/physician/dr-ruedi-thoeni-2c35c,1
"John Thornbury, MD ",Society for Abdominal Radiology,SAR Member Hall of Fame,2016,,https://obits.mlive.com/obituaries/annarbor/obituary.aspx?n=john-r-thornbury&pid=186040810&fhid=6480,1
"Paul Van Waes, MD ",Society for Abdominal Radiology,SAR Member Hall of Fame,2016,,,
"Philip Weyman, MD ",Society for Abdominal Radiology,SAR Member Hall of Fame,2016,,https://www.healthgrades.com/physician/dr-philip-weyman-yrcjp,1
Hal Anger,Society of Nuclear Medicine & Molecular Imaging,Cassen Award,1994,,https://tech.snmjournals.org/content/33/4/250,1
"David Kuhl, MD",Society of Nuclear Medicine & Molecular Imaging,Cassen Award,1996,,https://pubs.rsna.org/doi/full/10.1148/radiol.2017174024,1
"Henry N. Wagner, Jr, MD",Society of Nuclear Medicine & Molecular Imaging,Cassen Award,1998,,https://professorships.jhu.edu/professorship/henry-n-wagner-jr-m-d-professorship-in-nuclear-medicine/,1
"Gerald DeNardo, MD",Society of Nuclear Medicine & Molecular Imaging,Cassen Award,2000,,https://www.sharecare.com/doctor/dr-gerald-denardo-xh7d9,1
"Sally DeNardo, MD",Society of Nuclear Medicine & Molecular Imaging,Cassen Award,2000,,https://www.doximity.com/pub/sally-denardo-md,2
"Michael E. Phelps, PhD",Society of Nuclear Medicine & Molecular Imaging,Cassen Award,2002,,https://jnm.snmjournals.org/content/60/4/439/tab-figures-data,1
"Michael Welch, PhD",Society of Nuclear Medicine & Molecular Imaging,Cassen Award,2004,,https://source.wustl.edu/2012/05/welch-professor-of-radiology-72/,1
"Alexander Gottschalk, MD",Society of Nuclear Medicine & Molecular Imaging,Cassen Award,2006,,https://www.ucsfhealth.org/providers/dr-alexander-gottschalk,1
"Mathew L. Thakur, Ph.D.",Society of Nuclear Medicine & Molecular Imaging,Cassen Award,2008,,https://sites.google.com/site/mathewthakur/home,1
"Sung-Cheng (Henry) Huang, DSc",Society of Nuclear Medicine & Molecular Imaging,Cassen Award,2010,,https://www.pharmacology.ucla.edu/people/henry-sung-cheng-huang-d-sc/,1
"Abass Alavi, MD",Society of Nuclear Medicine & Molecular Imaging,Cassen Award,2012,,https://www.pennmedicine.org/providers/profile/abass-alavi,1
"Barry Siegel, MD",Society of Nuclear Medicine & Molecular Imaging,Cassen Award,2014,,https://siteman.wustl.edu/doctor/siegel-barry-md/,1
"H. William Strauss, MD",Society of Nuclear Medicine & Molecular Imaging,Cassen Award,2016,,https://serene-llc.com/team/h-william-strauss-md/,1
"Sanjiv Sam Gambhir, MD, PhD",Society of Nuclear Medicine & Molecular Imaging,Cassen Award,2018,,https://cancerres.aacrjournals.org/content/80/20/4305,1
Ernest O. Lawrence,Society of Nuclear Medicine & Molecular Imaging,Georg Charles de Hevesy Nuclear Pioneer Awardees,1960,,https://www.nobelprize.org/prizes/physics/1939/lawrence/biographical/,1
Joseph Hamilton ,Society of Nuclear Medicine & Molecular Imaging,Georg Charles de Hevesy Nuclear Pioneer Awardees,1962,,https://en.wikipedia.org/wiki/Joseph_Gilbert_Hamilton,1
Bertram Low-Beer,Society of Nuclear Medicine & Molecular Imaging,Georg Charles de Hevesy Nuclear Pioneer Awardees,1962,,https://pubs.rsna.org/doi/10.1148/66.2.284,1
"Enrico Fermi, Ph.D.",Society of Nuclear Medicine & Molecular Imaging,Georg Charles de Hevesy Nuclear Pioneer Awardees,1963,,https://en.wikipedia.org/wiki/Enrico_Fermi,1
Lord Rutherford of Nelson,Society of Nuclear Medicine & Molecular Imaging,Georg Charles de Hevesy Nuclear Pioneer Awardees,1964,,https://en.wikipedia.org/wiki/Ernest_Rutherford,1
"Geoacchino Failla, Ph.D.",Society of Nuclear Medicine & Molecular Imaging,Georg Charles de Hevesy Nuclear Pioneer Awardees,1965,,,
"Otto Hahn, Ph.D.",Society of Nuclear Medicine & Molecular Imaging,Georg Charles de Hevesy Nuclear Pioneer Awardees,1966,,https://en.wikipedia.org/wiki/Otto_Hahn,1
"Gilbert N. Lewis, Ph.D.",Society of Nuclear Medicine & Molecular Imaging,Georg Charles de Hevesy Nuclear Pioneer Awardees,1967,,"https://en.wikipedia.org/wiki/Gilbert_N._Lewis#:~:text=After%20receiving%20his%20PhD%20in,the%20rest%20of%20his%20life.",1
Pioneers of the 1930’s,Society of Nuclear Medicine & Molecular Imaging,Georg Charles de Hevesy Nuclear Pioneer Awardees,1968,,,
"Herrman Blumgart, M.D.",Society of Nuclear Medicine & Molecular Imaging,Georg Charles de Hevesy Nuclear Pioneer Awardees,1969,,https://litfl.com/herrman-blumgart/,1
"John J. Lawrence, M.D.",Society of Nuclear Medicine & Molecular Imaging,Georg Charles de Hevesy Nuclear Pioneer Awardees,1970,,https://en.wikipedia.org/wiki/John_H._Lawrence,1
"Glenn T. Seaborg, Ph.D.",Society of Nuclear Medicine & Molecular Imaging,Georg Charles de Hevesy Nuclear Pioneer Awardees,1971,,"https://www.nobelprize.org/prizes/chemistry/1951/seaborg/biographical/#:~:text=He%20entered%20the%20University%20of,California%2C%20Berkeley%2C%20in%201937.&text=In%201958%2C%20he%20was%20appointed,University%20of%20California%20at%20Berkeley.",1
Frederick Currie,Society of Nuclear Medicine & Molecular Imaging,Georg Charles de Hevesy Nuclear Pioneer Awardees,1972,,"https://en.wikipedia.org/wiki/Sir_Frederick_Currie,_1st_Baronet",1
Irene Joiliot Curie,Society of Nuclear Medicine & Molecular Imaging,Georg Charles de Hevesy Nuclear Pioneer Awardees,1972,,https://en.wikipedia.org/wiki/Ir%C3%A8ne_Joliot-Curie,2
"Lise Meitner, Ph.D.",Society of Nuclear Medicine & Molecular Imaging,Georg Charles de Hevesy Nuclear Pioneer Awardees,1973,,"https://www.famousscientists.org/lise-meitner/#:~:text=In%20December%201905%2C%20Meitner%20passed,she%20was%20awarded%20her%20doctorate.",2
