,name,pctwhite,pctblack,pctapi,pctaian,pct2prace,pcthispanic
250,Schnabel,97.11,0.00,0.43,0.16,0.89,1.41
251,Schnabel,97.11,0.00,0.43,0.16,0.89,1.41
252,Schroeder,96.74,0.23,0.48,0.39,0.86,1.30
253,Scott,62.60,32.26,0.41,1.15,1.90,1.68
254,Seto,8.95,0,79.65,0,5.19,5.82
255,Seungbum,,,,,,
256,Seyed Zavari,,,,,,
257,Shadloo,,,,,,
258,Shah,4.05,1.14,87.80,0.24,5.88,0.89
259,Shahriari,88.11,0,4.90,0.00,6.29,0
260,Shamji,,,,,,
261,Sheehan,96.66,0.20,0.57,0.23,1.01,1.33
262,Shu,4.02,0.53,91.81,0,3.12,0
263,Sidhu,4.22,0,82.98,0,7.44,4.71
264,Singh,3.51,3.09,74.44,1.01,15.30,2.65
265,Singh,3.51,3.09,74.44,1.01,15.30,2.65
266,Siu,3.34,0,85.65,0,2.89,7.65
267,Skibinski,97.12,0,0.55,0,1.00,1.00
268,Smith,73.35,22.22,0.40,0.85,1.63,1.56
269,Smith,73.35,22.22,0.40,0.85,1.63,1.56
270,Smith,73.35,22.22,0.40,0.85,1.63,1.56
271,Steele,80.39,14.94,0.41,1.08,1.47,1.71
272,Stewin,,,,,,
273,Stimpfl,,,,,,
274,Straka,97.21,0,0.34,0,1.03,1.11
275,Strong,69.40,25.19,0.53,1.44,1.73,1.72
276,Sullivan,89.45,6.78,0.46,0.52,1.16,1.63
277,Tannberg,,,,,,
278,Tarnasky,,,,,,
279,Teranishi,0,0.00,92.59,0.00,0,3.70
280,Thorpe,70.85,24.53,0.52,0.70,1.77,1.62
281,Tildesley,,,,,,
282,Toering,95.16,0,0,0,0.00,2.02
283,Tomlinson,87.03,8.47,0.52,0.47,1.62,1.90
284,Tonge,52.97,39.83,0,0,2.65,3.60
285,Tran,1.56,0.16,95.61,0.07,1.98,0.62
286,Trasolini,,,,,,
287,Tse,1.88,0,94.75,0,1.57,0.90
288,Van Gorkum,,,,,,
289,Van Ryn,,,,,,
290,Virk,3.69,0.81,85.12,0.58,8.88,0.92
291,Vis,94.70,0.00,1.63,0.00,1.09,2.58
292,Vis,94.70,0.00,1.63,0.00,1.09,2.58
293,Ward,77.79,17.77,0.40,0.83,1.57,1.64
294,Watts,70.81,24.96,0.35,0.73,1.66,1.48
295,Webber,84.83,10.65,0.58,0.61,1.33,1.99
296,Wegner-Lohin,,,,,,
297,White,67.91,27.38,0.39,1.01,1.76,1.55
298,Williams,48.52,46.72,0.37,0.78,2.01,1.60
299,Wong,3.33,0.71,88.50,0.05,4.39,3.02
300,Wong,3.33,0.71,88.50,0.05,4.39,3.02
301,Wong,3.33,0.71,88.50,0.05,4.39,3.02
302,Wong,3.33,0.71,88.50,0.05,4.39,3.02
303,Wong,3.33,0.71,88.50,0.05,4.39,3.02
304,Woodhouse,74.01,20.96,0.54,0.89,1.43,2.17
305,Wren,78.23,16.89,0.40,0.73,1.94,1.82
306,Yang,0.95,0.13,95.03,0.04,3.49,0.35
307,Yee,5.14,0.48,86.48,0.10,5.49,2.31
308,Yee,5.14,0.48,86.48,0.10,5.49,2.31
309,You,3.39,0,92.14,0,2.93,0.80
310,Younger,66.81,27.83,0.56,0.61,2.09,2.10
311,Zamora,5.99,0.22,2.37,0.37,0.53,90.52
312,Zia,30.95,0,55.95,0,10.50,2.06
313,Zimowski,,,,,,
