,name,pctwhite,pctblack,pctapi,pctaian,pct2prace,pcthispanic,race
157,Lam,7.82,0.42,87.47,0.07,2.14,2.08,pctapi
158,Lambert,85.71,9.34,0.46,1.16,1.39,1.94,pctwhite
159,Lamond,92.80,2.80,0,0,0.65,3.33,pctwhite
160,Lang,84.16,9.90,2.34,0.56,1.41,1.63,pctwhite
161,Law,68.50,15.12,13.17,0.33,1.61,1.28,pctwhite
162,Lebitsching,,,,,,,
163,Leduc,92.88,0.29,1.43,0.27,1.43,3.70,pctwhite
164,Leggett,72.17,24.60,0.24,0.43,1.26,1.30,pctwhite
165,Lesowski,,,,,,,
166,Leung,2.03,0.48,94.90,0.03,2.01,0.56,pctapi
167,Levido,,,,,,,
168,Lin,2.29,0.13,95.13,0.03,2.02,0.40,pctapi
169,Lin,2.29,0.13,95.13,0.03,2.02,0.40,pctapi
170,Lu,1.65,0.22,95.73,0.06,1.72,0.63,pctapi
171,Lukianchuk,,,,,,,
172,Ma,2.42,0.44,94.00,0.05,1.76,1.33,pctapi
173,Mackintosh,88.52,0.96,0,0,1.72,7.94,pctwhite
174,MacLennan,94.75,0.83,0,0,1.42,2.16,pctwhite
175,MacNaughton,96.56,0.00,0.64,0,2.04,0,pctwhite
176,MacPherson,94.16,1.04,0.66,0.18,1.89,2.07,pctwhite
177,Magnussen,96.58,0,0,0.00,0,2.28,pctwhite
178,Mahal,29.95,0,61.42,0,6.94,0.85,pctapi
179,Maharaj,5.13,16.23,43.23,0.98,32.03,2.40,pctapi
180,Maharaj,5.13,16.23,43.23,0.98,32.03,2.40,pctapi
181,Malayeri,,,,,,,
182,Maleki Moayeri,,,,,,,
183,Manabala,,,,,,,
184,Mannella,98.11,0.00,0,0,0.00,1.58,pctwhite
185,Mantle,93.45,2.24,0.72,0.64,1.36,1.60,pctwhite
186,Martin,77.47,15.30,0.71,0.94,1.59,3.99,pctwhite
187,Martinez Gonzales,,,,,,,
188,Marty Smith,,,,,,,
189,Mcasey,,,,,,,
190,McCarthy,93.90,2.78,0.54,0.26,1.12,1.41,pctwhite
191,McConnell,90.56,5.67,0.41,0.72,1.40,1.24,pctwhite
192,McGinn,96.52,0.14,0.56,0.40,1.13,1.25,pctwhite
193,McKnight,62.47,33.86,0.38,0.42,1.62,1.24,pctwhite
194,McLennan,84.18,11.74,0,0,1.42,2.08,pctwhite
195,McMynn,,,,,,,
196,McNaughton,93.24,2.14,0.78,0.88,1.46,1.51,pctwhite
197,Meadows,82.93,13.59,0.27,0.42,1.42,1.36,pctwhite
198,Metzger,96.58,0.56,0.49,0.27,0.93,1.17,pctwhite
199,Metzger,96.58,0.56,0.49,0.27,0.93,1.17,pctwhite
200,Metzger,96.58,0.56,0.49,0.27,0.93,1.17,pctwhite
201,Miller,85.81,10.41,0.42,0.63,1.31,1.43,pctwhite
202,Milley,92.90,4.13,0,0.00,0,1.82,pctwhite
203,Mitchell,63.55,31.52,0.39,0.98,1.93,1.63,pctwhite
204,Mok,4.69,0,90.53,0,3.23,0.89,pctapi
205,Montigny,94.72,0,0.00,0,0,3.40,pctwhite
206,Morton,75.94,19.46,0.51,0.77,1.76,1.57,pctwhite
207,Mountain,84.26,7.31,0.31,5.32,1.90,0.90,pctwhite
208,Mukabasinga,,,,,,,
209,Musso,92.35,0.39,0,0,1.30,5.44,pctwhite
210,Naderi,75.23,0,1.58,0,18.47,4.05,pctwhite
211,Nair,15.53,1.93,76.80,0.35,4.94,0.46,pctapi
212,Nakagawa,4.53,0,86.44,0,7.27,1.35,pctapi
213,Navarro,7.90,0.45,4.10,0.27,0.71,86.57,pcthispanic
214,Nelson,80.29,14.93,0.51,1.09,1.49,1.68,pctwhite
215,Ngo,1.14,0,95.84,0,2.13,0.61,pctapi
216,Nguyen,1.26,0.18,95.93,0.04,2.01,0.58,pctapi
217,Northcott,95.81,0,0,1.36,0.94,1.47,pctwhite
218,Ogmen,,,,,,,
219,Papalia,96.12,0,1.51,0.00,0,1.94,pctwhite
220,Parker,71.49,24.09,0.44,0.85,1.67,1.46,pctwhite
221,Pavlovich,95.63,0,0,0.00,1.98,1.66,pctwhite
222,Payne,73.69,22.03,0.35,0.54,1.75,1.64,pctwhite
223,Pearson,74.49,21.59,0.47,0.43,1.60,1.42,pctwhite
224,Pechar,95.57,0,0.00,0,0.00,3.80,pctwhite
225,Penner,94.80,1.23,0.69,0.32,1.29,1.67,pctwhite
226,Pirani,47.79,0,47.55,0,3.92,0,pctwhite
227,Pixley,85.97,10.52,0.32,0.36,1.28,1.55,pctwhite
228,Ponting,92.81,0,4.32,0.00,0,0,pctwhite
229,Pop,86.63,2.39,1.85,0.00,3.91,5.22,pctwhite
230,Preston,75.24,19.95,0.45,0.99,1.62,1.75,pctwhite
231,Pritchard,90.34,5.62,0.64,0.44,1.49,1.47,pctwhite
232,Puri,13.19,0,77.68,0,7.07,1.35,pctapi
233,Qasilbash,,,,,,,
234,Rees,95.13,1.06,0.64,0.34,1.16,1.68,pctwhite
235,Renaud,85.77,6.03,0.71,0.41,2.29,4.78,pctwhite
236,Riedstra,,,,,,,
237,Roberts,79.56,15.86,0.47,0.85,1.67,1.58,pctwhite
238,Rose,84.23,10.86,0.52,0.61,1.83,1.95,pctwhite
