,Society,Award,Gender,pred_gender
228,Canadian Association of Radiologists,Gold medal Award,1,1
229,Society of Breast Imaging,Gold Medal,2,0
230,Society of Breast Imaging,Gold Medal,2,2
231,Society of Breast Imaging,Gold Medal,1,1
232,Society of Breast Imaging,Gold Medal,2,0
233,Society of Breast Imaging,Gold Medal,1,1
234,Society of Breast Imaging,Gold Medal,1,1
235,Society of Breast Imaging,Gold Medal,2,2
236,Society of Breast Imaging,Gold Medal,1,0
237,Society of Breast Imaging,Gold Medal,2,0
238,Society of Breast Imaging,Gold Medal,1,0
239,Society of Breast Imaging,Gold Medal,1,0
240,Society of Breast Imaging,Gold Medal,1,0
241,Society of Breast Imaging,Gold Medal,1,1
242,Society of Breast Imaging,Gold Medal,1,0
243,Society of Breast Imaging,Gold Medal,1,0
244,Society of Breast Imaging,Gold Medal,1,0
245,Society of Breast Imaging,Gold Medal,1,1
246,Society for Cardiovascular Magnetic Resonance,Gold Metal Award,1,1
247,Society for Cardiovascular Magnetic Resonance,Gold Metal Award,2,0
248,Society for Cardiovascular Magnetic Resonance,Gold Metal Award,1,0
249,Society for Cardiovascular Magnetic Resonance,Gold Metal Award,1,0
250,Society for Cardiovascular Magnetic Resonance,Gold Metal Award,1,0
251,Society for Cardiovascular Magnetic Resonance,Gold Metal Award,1,1
252,Society for Cardiovascular Magnetic Resonance,Gold Metal Award,1,0
253,Society for Cardiovascular Magnetic Resonance,Gold Metal Award,1,0
254,Society for Cardiovascular Magnetic Resonance,Gold Metal Award,1,1
255,Society for Cardiovascular Magnetic Resonance,Gold Metal Award,1,1
256,Society for Cardiovascular Magnetic Resonance,Gold Metal Award,1,0
257,Society for Cardiovascular Magnetic Resonance,Gold Metal Award,1,0
258,Society for Cardiovascular Magnetic Resonance,Gold Metal Award,1,0
259,Society for Cardiovascular Magnetic Resonance,Gold Metal Award,1,1
260,Society for Cardiovascular Magnetic Resonance,Gold Metal Award,1,0
261,Society for Pediatric Radiology,Singleton-Taybi Award,1,0
262,Society for Pediatric Radiology,Singleton-Taybi Award,1,1
263,Society for Pediatric Radiology,Singleton-Taybi Award,2,0
264,Society for Pediatric Radiology,Singleton-Taybi Award,2,0
265,Society for Pediatric Radiology,Singleton-Taybi Award,1,1
266,Society for Pediatric Radiology,Singleton-Taybi Award,1,0
267,Society for Pediatric Radiology,Singleton-Taybi Award,1,0
268,Society for Pediatric Radiology,Singleton-Taybi Award,1,1
269,Society for Pediatric Radiology,Singleton-Taybi Award,2,2
270,Society for Pediatric Radiology,Singleton-Taybi Award,1,1
271,Society for Pediatric Radiology,Singleton-Taybi Award,1,0
272,Society for Pediatric Radiology,Singleton-Taybi Award,1,1
273,Society for Pediatric Radiology,Singleton-Taybi Award,1,1
274,Society for Pediatric Radiology,Singleton-Taybi Award,1,1
275,Society for Pediatric Radiology,Singleton-Taybi Award,1,1
276,Society for Pediatric Radiology,Gold Medal,1,0
277,Society for Pediatric Radiology,Gold Medal,1,1
278,Society for Pediatric Radiology,Gold Medal,1,1
279,Society for Pediatric Radiology,Gold Medal,1,1
280,Society for Pediatric Radiology,Gold Medal,1,1
281,Society for Pediatric Radiology,Gold Medal,1,1
282,Society for Pediatric Radiology,Gold Medal,1,0
283,Society for Pediatric Radiology,Gold Medal,1,0
284,Society for Pediatric Radiology,Gold Medal,1,0
285,Society for Pediatric Radiology,Gold Medal,1,0
286,Society for Pediatric Radiology,Gold Medal,1,0
287,Society for Pediatric Radiology,Gold Medal,1,0
288,Society for Pediatric Radiology,Gold Medal,2,0
289,Society for Pediatric Radiology,Gold Medal,1,0
290,Society for Pediatric Radiology,Gold Medal,1,1
291,Society for Pediatric Radiology,Gold Medal,1,1
292,Society for Pediatric Radiology,Gold Medal,1,0
293,Society for Pediatric Radiology,Gold Medal,1,1
294,Society for Pediatric Radiology,Gold Medal,1,0
295,Society for Pediatric Radiology,Gold Medal,1,1
296,Society for Pediatric Radiology,Gold Medal,1,0
297,Society for Pediatric Radiology,Gold Medal,1,1
298,Society for Pediatric Radiology,Gold Medal,2,0
299,Society for Pediatric Radiology,Gold Medal,0,0
300,Society for Pediatric Radiology,Gold Medal,1,0
301,Society for Pediatric Radiology,Gold Medal,1,1
302,Society for Pediatric Radiology,Gold Medal,1,1
303,Society for Pediatric Radiology,Gold Medal,1,1
304,Society for Pediatric Radiology,Gold Medal,1,1
305,Society for Pediatric Radiology,Gold Medal,1,1
306,Society for Pediatric Radiology,Gold Medal,1,1
307,Society for Pediatric Radiology,Gold Medal,2,0
308,Society for Pediatric Radiology,Gold Medal,2,0
309,Society for Pediatric Radiology,Gold Medal,2,0
310,Society for Pediatric Radiology,Gold Medal,1,0
311,Society for Pediatric Radiology,Gold Medal,1,1
312,Society for Pediatric Radiology,Gold Medal,1,1
313,Society for Pediatric Radiology,Gold Medal,2,0
314,Society for Pediatric Radiology,Gold Medal,2,1
315,Society for Pediatric Radiology,Gold Medal,1,1
316,Society for Pediatric Radiology,Gold Medal,2,0
317,Society for Pediatric Radiology,Gold Medal,1,1
318,Society for Pediatric Radiology,Gold Medal,1,0
319,Society for Pediatric Radiology,Gold Medal,2,0
320,Society for Pediatric Radiology,Gold Medal,1,2
321,Society for Pediatric Radiology,Gold Medal,1,0
322,Society for Pediatric Radiology,Pioneer Honorees,1,1
323,Society for Pediatric Radiology,Pioneer Honorees,1,0
324,Society for Pediatric Radiology,Pioneer Honorees,1,1
325,Society for Pediatric Radiology,Pioneer Honorees,1,0
326,Society for Pediatric Radiology,Pioneer Honorees,1,1
327,Society for Pediatric Radiology,Pioneer Honorees,0,0
328,Society for Pediatric Radiology,Pioneer Honorees,1,0
329,Society for Pediatric Radiology,Pioneer Honorees,0,0
330,Society for Pediatric Radiology,Pioneer Honorees,1,1
331,Society for Pediatric Radiology,Pioneer Honorees,1,1
332,Society for Pediatric Radiology,Pioneer Honorees,2,0
333,Society for Pediatric Radiology,Pioneer Honorees,1,1
334,Society for Pediatric Radiology,Pioneer Honorees,1,0
335,Society for Pediatric Radiology,Pioneer Honorees,2,0
336,Society for Pediatric Radiology,Pioneer Honorees,0,1
337,Society for Pediatric Radiology,Pioneer Honorees,1,0
338,Society for Pediatric Radiology,Pioneer Honorees,0,0
339,Society for Pediatric Radiology,Pioneer Honorees,2,2
340,Society for Pediatric Radiology,Pioneer Honorees,1,1
341,Society for Pediatric Radiology,Pioneer Honorees,2,0
342,Society for Pediatric Radiology,Pioneer Honorees,1,1
343,Society for Pediatric Radiology,Pioneer Honorees,1,0
344,Society for Pediatric Radiology,Pioneer Honorees,1,1
345,Society for Pediatric Radiology,Pioneer Honorees,1,0
346,Society for Pediatric Radiology,Pioneer Honorees,1,1
347,Society for Pediatric Radiology,Pioneer Honorees,1,1
348,Society for Pediatric Radiology,Pioneer Honorees,1,1
349,Society for Pediatric Radiology,Pioneer Honorees,1,2
350,Society for Pediatric Radiology,Pioneer Honorees,2,1
351,Society for Pediatric Radiology,Pioneer Honorees,1,0
352,Society for Pediatric Radiology,Pioneer Honorees,1,2
353,Society for Pediatric Radiology,Pioneer Honorees,1,1
354,Society for Pediatric Radiology,Pioneer Honorees,1,0
355,Society for Pediatric Radiology,Presidential Recognition Award,1,1
356,Society for Pediatric Radiology,Presidential Recognition Award,1,1
357,Society for Pediatric Radiology,Presidential Recognition Award,1,1
358,Society for Pediatric Radiology,Presidential Recognition Award,0,0
359,Society for Pediatric Radiology,Presidential Recognition Award,2,0
360,Society for Pediatric Radiology,Presidential Recognition Award,1,1
361,Society for Pediatric Radiology,Presidential Recognition Award,2,0
362,Society for Pediatric Radiology,Presidential Recognition Award,2,0
363,Society for Pediatric Radiology,Presidential Recognition Award,1,0
364,Society for Pediatric Radiology,Presidential Recognition Award,1,0
365,Society for Pediatric Radiology,Presidential Recognition Award,1,1
